Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	IndividualID	Cohort
HMP2I345	HMP2I246	HMP2I496	HMP2I173	HMP2I441	HMP2I246	HMP2I474	HMP2I441	HMP2I474	HMP2I496	HMP2I496	HMP2I20	HMP2I441	HMP2I474	HMP2I332	HMP2I246	HMP2I474	HMP2I345	HMP2I246	HMP2I332	M2027	HMP2
HMP2I933	HMP2I636	HMP2I909	HMP2I51	HMP2I636	HMP2I167	HMP2I933	HMP2I909	HMP2I500	HMP2I7	HMP2I500	HMP2I51	HMP2I177	HMP2I500	HMP2I192	HMP2I118	HMP2I636	HMP2I909	HMP2I204	HMP2I500	M2028	HMP2
HMP2I159	HMP2I298	HMP2I668	HMP2I944	HMP2I159	HMP2I298	HMP2I545	HMP2I984	HMP2I984	HMP2I944	HMP2I668	HMP2I580	HMP2I867	HMP2I148	HMP2I298	HMP2I984	HMP2I92	HMP2I842	HMP2I92	HMP2I502	M2034	HMP2
HMP2I176	HMP2I255	HMP2I894	HMP2I255	HMP2I312	HMP2I344	HMP2I894	HMP2I10	HMP2I176	HMP2I312	HMP2I745	HMP2I236	HMP2I344	HMP2I344	HMP2I745	HMP2I77	HMP2I312	HMP2I682	HMP2I312	HMP2I77	M2039	HMP2
HMP2I805	HMP2I666	HMP2I172	HMP2I805	HMP2I72	HMP2I72	HMP2I547	HMP2I295	HMP2I110	HMP2I245	HMP2I45	HMP2I87	HMP2I45	HMP2I72	HMP2I295	HMP2I341	HMP2I666	HMP2I740	HMP2I295	HMP2I45	M2041	HMP2
HMP2I879	HMP2I1034	HMP2I93	HMP2I523	HMP2I54	HMP2I670	HMP2I198	HMP2I498	HMP2I249	HMP2I824	HMP2I711	HMP2I685	HMP2I741	HMP2I174	HMP2I641	HMP2I815	HMP2I761	HMP2I770	HMP2I654	HMP2I565	M2042	HMP2
HMP2I491	HMP2I355	HMP2I359	HMP2I491	HMP2I451	HMP2I860	HMP2I942	HMP2I451	HMP2I230	HMP2I491	HMP2I881	HMP2I355	HMP2I35	HMP2I942	HMP2I942	HMP2I881	HMP2I881	HMP2I230	HMP2I230	HMP2I126	M2047	HMP2
HMP2I774	HMP2I455	HMP2I273	HMP2I681	HMP2I223	HMP2I681	HMP2I681	HMP2I85	HMP2I671	HMP2I223	HMP2I1084	HMP2I85	HMP2I681	HMP2I521	HMP2I455	HMP2I671	HMP2I455	HMP2I223	HMP2I521	HMP2I85	M2048	HMP2
HMP2I922	HMP2I546	HMP2I378	HMP2I1198	HMP2I378	HMP2I576	HMP2I244	HMP2I875	HMP2I235	HMP2I1271	HMP2I922	HMP2I546	HMP2I546	HMP2I228	HMP2I1198	HMP2I875	HMP2I403	HMP2I922	HMP2I922	HMP2I576	M2060	HMP2
HMP2I697	HMP2I1	HMP2I357	HMP2I280	HMP2I318	HMP2I365	HMP2I357	HMP2I712	HMP2I280	HMP2I712	HMP2I1245	HMP2I1	HMP2I318	HMP2I357	HMP2I392	HMP2I789	HMP2I865	HMP2I789	HMP2I697	HMP2I1245	M2061	HMP2
HMP2I856	HMP2I1244	HMP2I679	HMP2I1051	HMP2I1248	HMP2I1270	HMP2I1045	HMP2I1279	HMP2I144	HMP2I1013	HMP2I1323	HMP2I1143	HMP2I400	HMP2I905	HMP2I238	HMP2I60	HMP2I186	HMP2I976	HMP2I1291	HMP2I823	M2064	HMP2
HMP2I323	HMP2I1328	HMP2I1090	HMP2I859	HMP2I1232	HMP2I278	HMP2I1290	HMP2I914	HMP2I1057	HMP2I1294	HMP2I1082	HMP2I1210	HMP2I1114	HMP2I1165	HMP2I1180	HMP2I1326	HMP2I408	HMP2I676	HMP2I1088	HMP2I107	M2068	HMP2
HMP2I967	HMP2I248	HMP2I183	HMP2I352	HMP2I742	HMP2I214	HMP2I286	HMP2I627	HMP2I974	HMP2I958	HMP2I1325	HMP2I1258	HMP2I821	HMP2I158	HMP2I573	HMP2I61	HMP2I459	HMP2I915	HMP2I427	HMP2I614	M2069	HMP2
HMP2I2	HMP2I210	HMP2I2	HMP2I2	HMP2I2	HMP2I616	HMP2I210	HMP2I43	HMP2I43	HMP2I2	HMP2I533	HMP2I2	HMP2I965	HMP2I1333	HMP2I1333	HMP2I1333	HMP2I1333	HMP2I1333	HMP2I210	HMP2I533	M2071	HMP2
HMP2I846	HMP2I1076	HMP2I760	HMP2I279	HMP2I1170	HMP2I316	HMP2I916	HMP2I1247	HMP2I231	HMP2I397	HMP2I1295	HMP2I1097	HMP2I1020	HMP2I358	HMP2I564	HMP2I1115	HMP2I109	HMP2I1209	HMP2I595	HMP2I132	M2072	HMP2
HMP2I103	HMP2I1033	HMP2I1214	HMP2I725	HMP2I926	HMP2I184	HMP2I975	HMP2I923	HMP2I926	HMP2I1214	HMP2I103	HMP2I184	HMP2I103	HMP2I1202	HMP2I926	HMP2I923	HMP2I1202	HMP2I1202	HMP2I1202	HMP2I725	M2075	HMP2
HMP2I1208	HMP2I34	HMP2I964	HMP2I631	HMP2I723	HMP2I607	HMP2I631	HMP2I631	HMP2I631	HMP2I566	HMP2I964	HMP2I1208	HMP2I1238	HMP2I631	HMP2I566	HMP2I631	HMP2I34	HMP2I1106	HMP2I631	HMP2I1239	M2077	HMP2
HMP2I1281	HMP2I601	HMP2I728	HMP2I728	HMP2I819	HMP2I728	HMP2I1296	HMP2I601	HMP2I601	HMP2I728	HMP2I625	HMP2I1037	HMP2I1037	HMP2I625	HMP2I601	HMP2I1296	HMP2I913	HMP2I819	HMP2I1032	HMP2I1032	M2079	HMP2
HMP2I919	HMP2I1217	HMP2I1071	HMP2I1139	HMP2I797	HMP2I1213	HMP2I525	HMP2I919	HMP2I1213	HMP2I1254	HMP2I1130	HMP2I919	HMP2I1213	HMP2I1139	HMP2I1130	HMP2I855	HMP2I1130	HMP2I786	HMP2I1304	HMP2I756	M2083	HMP2
HMP2I966	HMP2I1205	HMP2I783	HMP2I1029	HMP2I817	HMP2I1026	HMP2I1058	HMP2I1218	HMP2I1074	HMP2I39	HMP2I605	HMP2I1111	HMP2I863	HMP2I1005	HMP2I799	HMP2I1259	HMP2I457	HMP2I1211	HMP2I1094	HMP2I1223	M2084	HMP2
HMP2I1299	HMP2I1109	HMP2I534	HMP2I600	HMP2I781	HMP2I727	HMP2I105	HMP2I1251	HMP2I1145	HMP2I1145	HMP2I105	HMP2I727	HMP2I1109	HMP2I781	HMP2I1061	HMP2I534	HMP2I727	HMP2I534	HMP2I534	HMP2I1251	M2085	HMP2
HMP2I911	HMP2I527	HMP2I1176	HMP2I849	HMP2I849	HMP2I1107	HMP2I852	HMP2I818	HMP2I1257	HMP2I911	HMP2I1107	HMP2I1176	HMP2I951	HMP2I527	HMP2I1176	HMP2I951	HMP2I911	HMP2I818	HMP2I852	HMP2I527	M2097	HMP2
HMP2I532	HMP2I1073	HMP2I1212	HMP2I912	HMP2I912	HMP2I603	HMP2I532	HMP2I532	HMP2I603	HMP2I603	HMP2I1212	HMP2I532	HMP2I1212	HMP2I912	HMP2I1212	HMP2I603	HMP2I912	HMP2I726	HMP2I532	HMP2I1260	M2103	HMP2
HMP2I366	HMP2I991	HMP2I991	HMP2I945	HMP2I593	HMP2I593	HMP2I217	HMP2I84	HMP2I84	HMP2I267	HMP2I589	HMP2I217	HMP2I84	HMP2I1179	HMP2I589	HMP2I432	HMP2I1179	HMP2I1179	HMP2I1320	HMP2I267	P6005	HMP2
HMP2I424	HMP2I638	HMP2I638	HMP2I1315	HMP2I1315	HMP2I689	HMP2I1315	HMP2I1315	HMP2I638	HMP2I1309	HMP2I639	HMP2I639	HMP2I638	HMP2I83	HMP2I220	HMP2I224	HMP2I1309	HMP2I326	HMP2I424	HMP2I689	P6009	HMP2
HMP2I334	HMP2I139	HMP2I292	HMP2I64	HMP2I5	HMP2I981	HMP2I283	HMP2I361	HMP2I138	HMP2I121	HMP2I407	HMP2I180	HMP2I537	HMP2I52	HMP2I1151	HMP2I462	HMP2I1225	HMP2I972	HMP2I212	HMP2I753	P6010	HMP2
HMP2I833	HMP2I591	HMP2I833	HMP2I884	HMP2I1153	HMP2I1137	HMP2I833	HMP2I833	HMP2I744	HMP2I254	HMP2I845	HMP2I284	HMP2I884	HMP2I845	HMP2I884	HMP2I307	HMP2I294	HMP2I294	HMP2I36	HMP2I307	P6012	HMP2
HMP2I1019	HMP2I1128	HMP2I844	HMP2I690	HMP2I1101	HMP2I830	HMP2I1182	HMP2I556	HMP2I1236	HMP2I1008	HMP2I871	HMP2I1042	HMP2I622	HMP2I1121	HMP2I353	HMP2I124	HMP2I454	HMP2I1197	HMP2I410	HMP2I317	P6013	HMP2
HMP2I1063	HMP2I575	HMP2I32	HMP2I1025	HMP2I578	HMP2I32	HMP2I755	HMP2I578	HMP2I503	HMP2I906	HMP2I755	HMP2I32	HMP2I906	HMP2I518	HMP2I32	HMP2I1025	HMP2I755	HMP2I906	HMP2I32	HMP2I575	P6014	HMP2
HMP2I791	HMP2I67	HMP2I67	HMP2I928	HMP2I1010	HMP2I791	HMP2I928	HMP2I182	HMP2I675	HMP2I1038	HMP2I1010	HMP2I376	HMP2I1038	HMP2I791	HMP2I182	HMP2I791	HMP2I1038	HMP2I376	HMP2I67	HMP2I391	P6016	HMP2
HMP2I694	HMP2I694	HMP2I464	HMP2I80	HMP2I598	HMP2I42	HMP2I694	HMP2I80	HMP2I861	HMP2I598	HMP2I464	HMP2I598	HMP2I861	HMP2I464	HMP2I861	HMP2I694	HMP2I80	HMP2I1289	HMP2I80	HMP2I861	P6017	HMP2
HMP2I1134	HMP2I78	HMP2I281	HMP2I955	HMP2I570	HMP2I363	HMP2I62	HMP2I128	HMP2I513	HMP2I211	HMP2I542	HMP2I790	HMP2I1329	HMP2I429	HMP2I505	HMP2I629	HMP2I971	HMP2I1166	HMP2I864	HMP2I929	P6018	HMP2
HMP2I1242	HMP2I1194	HMP2I1092	HMP2I360	HMP2I1242	HMP2I399	HMP2I406	HMP2I1194	HMP2I360	HMP2I360	HMP2I1091	HMP2I1242	HMP2I902	HMP2I902	HMP2I1194	HMP2I567	HMP2I691	HMP2I360	HMP2I1092	HMP2I567	P6024	HMP2
HMP2I581	HMP2I1083	HMP2I696	HMP2I732	HMP2I696	HMP2I581	HMP2I584	HMP2I696	HMP2I696	HMP2I584	HMP2I869	HMP2I869	HMP2I581	HMP2I581	HMP2I581	HMP2I1083	HMP2I732	HMP2I584	HMP2I584	HMP2I696	P6025	HMP2
HMP2I396	HMP2I758	HMP2I1144	HMP2I447	HMP2I1144	HMP2I731	HMP2I315	HMP2I356	HMP2I731	HMP2I571	HMP2I396	HMP2I447	HMP2I181	HMP2I396	HMP2I356	HMP2I571	HMP2I315	HMP2I356	HMP2I356	HMP2I731	P6028	HMP2
HMP2I927	HMP2I736	HMP2I1053	HMP2I411	HMP2I924	HMP2I1031	HMP2I1120	HMP2I927	HMP2I1059	HMP2I1059	HMP2I924	HMP2I927	HMP2I411	HMP2I736	HMP2I1053	HMP2I1031	HMP2I1031	HMP2I927	HMP2I1031	HMP2I660	P6033	HMP2
HMP2I959	HMP2I1224	HMP2I528	HMP2I1055	HMP2I959	HMP2I528	HMP2I956	HMP2I1009	HMP2I1055	HMP2I659	HMP2I959	HMP2I657	HMP2I1055	HMP2I1009	HMP2I956	HMP2I1009	HMP2I530	HMP2I1009	HMP2I880	HMP2I698	P6035	HMP2
HMP2I529	HMP2I793	HMP2I707	HMP2I529	HMP2I1173	HMP2I851	HMP2I621	HMP2I529	HMP2I707	HMP2I1173	HMP2I529	HMP2I529	HMP2I529	HMP2I529	HMP2I1173	HMP2I628	HMP2I707	HMP2I707	HMP2I621	HMP2I707	P6037	HMP2
HMP2I604	HMP2I847	HMP2I847	HMP2I1219	HMP2I637	HMP2I784	HMP2I604	HMP2I798	HMP2I618	HMP2I1219	HMP2I1067	HMP2I729	HMP2I784	HMP2I604	HMP2I1067	HMP2I604	HMP2I784	HMP2I729	HMP2I1221	HMP2I1221	P6038	HMP2
Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis4000	Lewis
Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis4001	Lewis
Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis4002	Lewis
Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis4004	Lewis
Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis4005	Lewis
Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis4006	Lewis
Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis4007	Lewis
Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis4009	Lewis
Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis4010	Lewis
Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis4011	Lewis
Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis4013	Lewis
Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis4014	Lewis
Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis4017	Lewis
Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis4018	Lewis
Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis4019	Lewis
Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis4020	Lewis
Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis4021	Lewis
Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis4022	Lewis
Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis4023	Lewis
Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis4024	Lewis
Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis4025	Lewis
Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis4026	Lewis
Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis4027	Lewis
Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis4028	Lewis
Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis4029	Lewis
Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis4030	Lewis
Lewis5001s01	Lewis5001s03	Lewis5001s04	Lewis5001s01	Lewis5001s01	Lewis5001s03	Lewis5001s01	Lewis5001s01	Lewis5001s02	Lewis5001s04	Lewis5001s03	Lewis5001s04	Lewis5001s03	Lewis5001s04	Lewis5001s02	Lewis5001s01	Lewis5001s02	Lewis5001s02	Lewis5001s04	Lewis5001s03	Lewis5001	Lewis
Lewis5002s04	Lewis5002s04	Lewis5002s04	Lewis5002s04	Lewis5002s01	Lewis5002s04	Lewis5002s03	Lewis5002s04	Lewis5002s04	Lewis5002s01	Lewis5002s02	Lewis5002s04	Lewis5002s02	Lewis5002s02	Lewis5002s01	Lewis5002s03	Lewis5002s03	Lewis5002s04	Lewis5002s01	Lewis5002s02	Lewis5002	Lewis
Lewis5003s02	Lewis5003s02	Lewis5003s01	Lewis5003s01	Lewis5003s04	Lewis5003s04	Lewis5003s01	Lewis5003s04	Lewis5003s03	Lewis5003s01	Lewis5003s01	Lewis5003s02	Lewis5003s04	Lewis5003s04	Lewis5003s01	Lewis5003s03	Lewis5003s04	Lewis5003s03	Lewis5003s01	Lewis5003s03	Lewis5003	Lewis
Lewis5004s02	Lewis5004s03	Lewis5004s04	Lewis5004s02	Lewis5004s04	Lewis5004s03	Lewis5004s04	Lewis5004s04	Lewis5004s02	Lewis5004s03	Lewis5004s04	Lewis5004s03	Lewis5004s04	Lewis5004s03	Lewis5004s03	Lewis5004s03	Lewis5004s04	Lewis5004s01	Lewis5004s01	Lewis5004s04	Lewis5004	Lewis
Lewis5006s04	Lewis5006s01	Lewis5006s03	Lewis5006s03	Lewis5006s04	Lewis5006s02	Lewis5006s03	Lewis5006s04	Lewis5006s01	Lewis5006s01	Lewis5006s02	Lewis5006s02	Lewis5006s02	Lewis5006s01	Lewis5006s02	Lewis5006s02	Lewis5006s01	Lewis5006s04	Lewis5006s04	Lewis5006s02	Lewis5006	Lewis
Lewis5007s02	Lewis5007s02	Lewis5007s04	Lewis5007s01	Lewis5007s03	Lewis5007s01	Lewis5007s03	Lewis5007s03	Lewis5007s01	Lewis5007s02	Lewis5007s04	Lewis5007s01	Lewis5007s01	Lewis5007s04	Lewis5007s01	Lewis5007s04	Lewis5007s03	Lewis5007s02	Lewis5007s01	Lewis5007s01	Lewis5007	Lewis
Lewis5008s04	Lewis5008s04	Lewis5008s01	Lewis5008s04	Lewis5008s03	Lewis5008s01	Lewis5008s02	Lewis5008s04	Lewis5008s02	Lewis5008s04	Lewis5008s02	Lewis5008s01	Lewis5008s01	Lewis5008s03	Lewis5008s02	Lewis5008s01	Lewis5008s03	Lewis5008s04	Lewis5008s03	Lewis5008s01	Lewis5008	Lewis
Lewis5010s03	Lewis5010s01	Lewis5010s02	Lewis5010s03	Lewis5010s04	Lewis5010s02	Lewis5010s04	Lewis5010s04	Lewis5010s03	Lewis5010s04	Lewis5010s04	Lewis5010s03	Lewis5010s03	Lewis5010s01	Lewis5010s02	Lewis5010s04	Lewis5010s03	Lewis5010s01	Lewis5010s03	Lewis5010s03	Lewis5010	Lewis
Lewis5011s02	Lewis5011s02	Lewis5011s04	Lewis5011s04	Lewis5011s02	Lewis5011s02	Lewis5011s04	Lewis5011s03	Lewis5011s02	Lewis5011s01	Lewis5011s03	Lewis5011s01	Lewis5011s04	Lewis5011s01	Lewis5011s03	Lewis5011s02	Lewis5011s01	Lewis5011s02	Lewis5011s02	Lewis5011s01	Lewis5011	Lewis
Lewis5012s03	Lewis5012s03	Lewis5012s03	Lewis5012s03	Lewis5012s02	Lewis5012s02	Lewis5012s02	Lewis5012s02	Lewis5012s01	Lewis5012s03	Lewis5012s03	Lewis5012s03	Lewis5012s01	Lewis5012s04	Lewis5012s02	Lewis5012s01	Lewis5012s04	Lewis5012s04	Lewis5012s04	Lewis5012s04	Lewis5012	Lewis
Lewis5013s02	Lewis5013s02	Lewis5013s01	Lewis5013s02	Lewis5013s01	Lewis5013s02	Lewis5013s03	Lewis5013s04	Lewis5013s04	Lewis5013s04	Lewis5013s04	Lewis5013s03	Lewis5013s03	Lewis5013s04	Lewis5013s01	Lewis5013s03	Lewis5013s04	Lewis5013s03	Lewis5013s04	Lewis5013s02	Lewis5013	Lewis
Lewis5015s02	Lewis5015s03	Lewis5015s02	Lewis5015s02	Lewis5015s01	Lewis5015s01	Lewis5015s03	Lewis5015s03	Lewis5015s01	Lewis5015s01	Lewis5015s03	Lewis5015s02	Lewis5015s04	Lewis5015s03	Lewis5015s03	Lewis5015s03	Lewis5015s02	Lewis5015s01	Lewis5015s01	Lewis5015s02	Lewis5015	Lewis
Lewis5016s02	Lewis5016s02	Lewis5016s03	Lewis5016s02	Lewis5016s01	Lewis5016s02	Lewis5016s02	Lewis5016s02	Lewis5016s02	Lewis5016s03	Lewis5016s01	Lewis5016s01	Lewis5016s03	Lewis5016s02	Lewis5016s04	Lewis5016s02	Lewis5016s03	Lewis5016s01	Lewis5016s04	Lewis5016s03	Lewis5016	Lewis
Lewis5017s01	Lewis5017s01	Lewis5017s04	Lewis5017s01	Lewis5017s04	Lewis5017s02	Lewis5017s04	Lewis5017s02	Lewis5017s01	Lewis5017s02	Lewis5017s04	Lewis5017s02	Lewis5017s01	Lewis5017s02	Lewis5017s01	Lewis5017s03	Lewis5017s03	Lewis5017s04	Lewis5017s02	Lewis5017s02	Lewis5017	Lewis
Lewis5018s01	Lewis5018s02	Lewis5018s01	Lewis5018s02	Lewis5018s02	Lewis5018s01	Lewis5018s02	Lewis5018s03	Lewis5018s03	Lewis5018s04	Lewis5018s04	Lewis5018s02	Lewis5018s02	Lewis5018s03	Lewis5018s03	Lewis5018s03	Lewis5018s04	Lewis5018s02	Lewis5018s04	Lewis5018s04	Lewis5018	Lewis
Lewis5020s01	Lewis5020s02	Lewis5020s02	Lewis5020s03	Lewis5020s04	Lewis5020s04	Lewis5020s01	Lewis5020s02	Lewis5020s01	Lewis5020s04	Lewis5020s04	Lewis5020s03	Lewis5020s02	Lewis5020s02	Lewis5020s03	Lewis5020s01	Lewis5020s02	Lewis5020s03	Lewis5020s01	Lewis5020s02	Lewis5020	Lewis
Lewis5022s04	Lewis5022s02	Lewis5022s02	Lewis5022s04	Lewis5022s02	Lewis5022s01	Lewis5022s03	Lewis5022s03	Lewis5022s03	Lewis5022s01	Lewis5022s04	Lewis5022s04	Lewis5022s02	Lewis5022s02	Lewis5022s02	Lewis5022s03	Lewis5022s02	Lewis5022s03	Lewis5022s04	Lewis5022s04	Lewis5022	Lewis
Lewis5023s03	Lewis5023s04	Lewis5023s01	Lewis5023s02	Lewis5023s03	Lewis5023s02	Lewis5023s01	Lewis5023s04	Lewis5023s01	Lewis5023s04	Lewis5023s04	Lewis5023s03	Lewis5023s04	Lewis5023s04	Lewis5023s04	Lewis5023s04	Lewis5023s02	Lewis5023s01	Lewis5023s03	Lewis5023s03	Lewis5023	Lewis
Lewis5025s04	Lewis5025s02	Lewis5025s02	Lewis5025s04	Lewis5025s03	Lewis5025s03	Lewis5025s04	Lewis5025s02	Lewis5025s03	Lewis5025s04	Lewis5025s02	Lewis5025s04	Lewis5025s04	Lewis5025s02	Lewis5025s02	Lewis5025s02	Lewis5025s02	Lewis5025s04	Lewis5025s03	Lewis5025s04	Lewis5025	Lewis
Lewis5026s04	Lewis5026s02	Lewis5026s04	Lewis5026s02	Lewis5026s04	Lewis5026s04	Lewis5026s02	Lewis5026s01	Lewis5026s03	Lewis5026s01	Lewis5026s02	Lewis5026s02	Lewis5026s03	Lewis5026s04	Lewis5026s04	Lewis5026s02	Lewis5026s01	Lewis5026s04	Lewis5026s04	Lewis5026s02	Lewis5026	Lewis
