Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	IndividualID	Cohort
HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	H4020	HMP
HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	H4022	HMP
HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	H4023	HMP
HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	H4027	HMP
HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	H4028	HMP
HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	H4030	HMP
HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	H4031	HMP
HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	H4032	HMP
HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	H4035	HMP
HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	H4038	HMP
HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	H4040	HMP
HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	H4042	HMP
HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	H4044	HMP
HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	H4045	HMP
HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMP
HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMP
HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMP
HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMP
HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMP
HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMP
HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMP
HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMP
HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMP
HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMP
HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMP
HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMP
HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMP
HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMP
HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMP
HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMP
HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMP
HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMP
HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMP
HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMP
HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMP
HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMP
HMPI195	HMPI197	HMPI198	HMPI200	HMPI197	HMPI200	HMPI197	HMPI194	HMPI195	HMPI195	HMPI200	HMPI194	HMPI200	HMPI194	HMPI198	HMPI195	HMPI194	HMPI196	HMPI198	HMPI198	M2008	HMP
HMPI201	HMPI202	HMPI202	HMPI202	HMPI203	HMPI202	HMPI202	HMPI202	HMPI202	HMPI203	HMPI203	HMPI202	HMPI201	HMPI201	HMPI202	HMPI201	HMPI203	HMPI202	HMPI203	HMPI203	M2010	HMP
HMPI211	HMPI210	HMPI206	HMPI207	HMPI212	HMPI205	HMPI207	HMPI209	HMPI207	HMPI208	HMPI206	HMPI211	HMPI209	HMPI210	HMPI211	HMPI204	HMPI209	HMPI207	HMPI206	HMPI210	M2014	HMP
HMPI217	HMPI216	HMPI214	HMPI216	HMPI216	HMPI215	HMPI216	HMPI217	HMPI213	HMPI213	HMPI213	HMPI214	HMPI215	HMPI217	HMPI217	HMPI217	HMPI217	HMPI213	HMPI216	HMPI215	M2021	HMP
HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	M2024	HMP
HMPI221	HMPI220	HMPI222	HMPI220	HMPI219	HMPI222	HMPI223	HMPI222	HMPI219	HMPI222	HMPI223	HMPI223	HMPI219	HMPI222	HMPI222	HMPI223	HMPI222	HMPI220	HMPI221	HMPI220	M2025	HMP
HMPI228	HMPI226	HMPI228	HMPI226	HMPI226	HMPI225	HMPI228	HMPI224	HMPI227	HMPI224	HMPI226	HMPI224	HMPI226	HMPI227	HMPI224	HMPI228	HMPI228	HMPI226	HMPI228	HMPI224	M2026	HMP
HMPI229	HMPI233	HMPI233	HMPI231	HMPI233	HMPI233	HMPI233	HMPI232	HMPI232	HMPI231	HMPI229	HMPI232	HMPI233	HMPI233	HMPI229	HMPI231	HMPI232	HMPI230	HMPI233	HMPI229	M2027	HMP
HMPI236	HMPI235	HMPI236	HMPI235	HMPI235	HMPI235	HMPI235	HMPI234	HMPI235	HMPI235	HMPI236	HMPI236	HMPI234	HMPI236	HMPI235	HMPI236	HMPI235	HMPI236	HMPI234	HMPI235	M2028	HMP
HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	M2034	HMP
HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	M2039	HMP
HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	M2041	HMP
HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	M2042	HMP
HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	M2047	HMP
HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	M2058	HMP
HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	M2059	HMP
HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	M2060	HMP
HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	M2064	HMP
HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	M2067	HMP
HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	M2068	HMP
HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	M2069	HMP
HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	M2071	HMP
HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	M2072	HMP
HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	M2075	HMP
HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	M2077	HMP
HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	M2079	HMP
HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	M2081	HMP
HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	M2082	HMP
HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	M2085	HMP
HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	M2086	HMP
HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	M2091	HMP
HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	P6005	HMP
HMPI265	HMPI268	HMPI266	HMPI266	HMPI265	HMPI260	HMPI261	HMPI262	HMPI268	HMPI263	HMPI264	HMPI267	HMPI265	HMPI262	HMPI263	HMPI262	HMPI260	HMPI265	HMPI264	HMPI263	P6009	HMP
HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	P6010	HMP
HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	P6013	HMP
HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	P6014	HMP
HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	P6016	HMP
HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	P6017	HMP
HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	P6018	HMP
HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	P6024	HMP
HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	P6025	HMP
HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	P6028	HMP
HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	P6033	HMP
HMP2I120	HMP2I515	HMP2I120	HMP2I41	HMP2I69	HMP2I120	HMP2I889	HMP2I120	HMP2I69	HMP2I560	HMP2I560	HMP2I41	HMP2I889	HMP2I41	HMP2I889	HMP2I41	HMP2I649	HMP2I515	HMP2I69	HMP2I69	C3001	HMP2
HMP2I943	HMP2I478	HMP2I803	HMP2I160	HMP2I943	HMP2I809	HMP2I803	HMP2I160	HMP2I943	HMP2I809	HMP2I943	HMP2I803	HMP2I160	HMP2I478	HMP2I943	HMP2I895	HMP2I803	HMP2I809	HMP2I803	HMP2I101	C3002	HMP2
HMP2I477	HMP2I993	HMP2I272	HMP2I993	HMP2I147	HMP2I272	HMP2I272	HMP2I272	HMP2I993	HMP2I549	HMP2I272	HMP2I22	HMP2I272	HMP2I549	HMP2I477	HMP2I147	HMP2I549	HMP2I549	HMP2I993	HMP2I272	C3003	HMP2
HMP2I476	HMP2I269	HMP2I169	HMP2I74	HMP2I90	HMP2I265	HMP2I193	HMP2I484	HMP2I193	HMP2I86	HMP2I265	HMP2I74	HMP2I311	HMP2I417	HMP2I832	HMP2I484	HMP2I609	HMP2I269	HMP2I311	HMP2I123	C3004	HMP2
HMP2I989	HMP2I239	HMP2I179	HMP2I3	HMP2I982	HMP2I422	HMP2I3	HMP2I422	HMP2I179	HMP2I3	HMP2I982	HMP2I438	HMP2I989	HMP2I422	HMP2I3	HMP2I438	HMP2I259	HMP2I3	HMP2I989	HMP2I982	C3005	HMP2
HMP2I202	HMP2I119	HMP2I445	HMP2I766	HMP2I119	HMP2I119	HMP2I119	HMP2I119	HMP2I766	HMP2I418	HMP2I445	HMP2I445	HMP2I202	HMP2I445	HMP2I119	HMP2I766	HMP2I766	HMP2I418	HMP2I418	HMP2I653	C3006	HMP2
HMP2I240	HMP2I836	HMP2I348	HMP2I940	HMP2I680	HMP2I759	HMP2I240	HMP2I940	HMP2I240	HMP2I759	HMP2I680	HMP2I952	HMP2I952	HMP2I499	HMP2I240	HMP2I759	HMP2I379	HMP2I952	HMP2I680	HMP2I240	C3008	HMP2
HMP2I446	HMP2I467	HMP2I482	HMP2I777	HMP2I163	HMP2I154	HMP2I446	HMP2I467	HMP2I777	HMP2I154	HMP2I467	HMP2I482	HMP2I777	HMP2I154	HMP2I322	HMP2I829	HMP2I446	HMP2I163	HMP2I829	HMP2I154	C3009	HMP2
HMP2I150	HMP2I262	HMP2I227	HMP2I423	HMP2I708	HMP2I439	HMP2I227	HMP2I129	HMP2I65	HMP2I129	HMP2I980	HMP2I893	HMP2I423	HMP2I150	HMP2I708	HMP2I708	HMP2I708	HMP2I150	HMP2I423	HMP2I893	C3010	HMP2
HMP2I769	HMP2I1314	HMP2I57	HMP2I1311	HMP2I1311	HMP2I1314	HMP2I57	HMP2I494	HMP2I57	HMP2I900	HMP2I57	HMP2I494	HMP2I900	HMP2I9	HMP2I222	HMP2I1314	HMP2I494	HMP2I900	HMP2I1311	HMP2I900	C3011	HMP2
HMP2I597	HMP2I426	HMP2I597	HMP2I206	HMP2I426	HMP2I252	HMP2I369	HMP2I205	HMP2I1234	HMP2I597	HMP2I1127	HMP2I205	HMP2I206	HMP2I808	HMP2I1234	HMP2I252	HMP2I206	HMP2I808	HMP2I1234	HMP2I335	C3012	HMP2
HMP2I371	HMP2I28	HMP2I28	HMP2I693	HMP2I996	HMP2I28	HMP2I693	HMP2I693	HMP2I1274	HMP2I219	HMP2I28	HMP2I1274	HMP2I693	HMP2I125	HMP2I450	HMP2I125	HMP2I996	HMP2I693	HMP2I996	HMP2I219	C3013	HMP2
HMP2I767	HMP2I775	HMP2I290	HMP2I801	HMP2I579	HMP2I1018	HMP2I998	HMP2I191	HMP2I837	HMP2I995	HMP2I164	HMP2I610	HMP2I234	HMP2I552	HMP2I53	HMP2I522	HMP2I1181	HMP2I1195	HMP2I1283	HMP2I643	C3015	HMP2
HMP2I1186	HMP2I526	HMP2I271	HMP2I1140	HMP2I16	HMP2I68	HMP2I1278	HMP2I908	HMP2I68	HMP2I16	HMP2I526	HMP2I1226	HMP2I908	HMP2I1186	HMP2I999	HMP2I465	HMP2I368	HMP2I465	HMP2I999	HMP2I1226	C3016	HMP2
HMP2I1330	HMP2I524	HMP2I1302	HMP2I1302	HMP2I907	HMP2I1237	HMP2I907	HMP2I1302	HMP2I1237	HMP2I1184	HMP2I1237	HMP2I765	HMP2I1184	HMP2I1302	HMP2I1184	HMP2I1184	HMP2I524	HMP2I1302	HMP2I1330	HMP2I1330	C3017	HMP2
HMP2I586	HMP2I548	HMP2I586	HMP2I835	HMP2I705	HMP2I705	HMP2I548	HMP2I586	HMP2I835	HMP2I1287	HMP2I1287	HMP2I779	HMP2I779	HMP2I1023	HMP2I1275	HMP2I1192	HMP2I1023	HMP2I586	HMP2I835	HMP2I1192	C3021	HMP2
HMP2I1264	HMP2I1118	HMP2I1160	HMP2I1154	HMP2I1056	HMP2I840	HMP2I634	HMP2I674	HMP2I1004	HMP2I887	HMP2I1043	HMP2I1021	HMP2I1185	HMP2I1017	HMP2I883	HMP2I762	HMP2I656	HMP2I555	HMP2I540	HMP2I1303	C3022	HMP2
HMP2I1077	HMP2I1077	HMP2I1324	HMP2I1022	HMP2I1047	HMP2I1233	HMP2I931	HMP2I1022	HMP2I968	HMP2I931	HMP2I1272	HMP2I968	HMP2I510	HMP2I931	HMP2I1077	HMP2I802	HMP2I1324	HMP2I1047	HMP2I1272	HMP2I1077	C3023	HMP2
HMP2I904	HMP2I827	HMP2I1286	HMP2I1157	HMP2I807	HMP2I588	HMP2I543	HMP2I1002	HMP2I1204	HMP2I1267	HMP2I684	HMP2I644	HMP2I512	HMP2I1016	HMP2I1015	HMP2I983	HMP2I1177	HMP2I1152	HMP2I1123	HMP2I1228	C3027	HMP2
HMP2I585	HMP2I1246	HMP2I695	HMP2I838	HMP2I695	HMP2I1203	HMP2I585	HMP2I1203	HMP2I1147	HMP2I1203	HMP2I748	HMP2I838	HMP2I1125	HMP2I804	HMP2I1125	HMP2I1246	HMP2I804	HMP2I1125	HMP2I1246	HMP2I695	C3028	HMP2
HMP2I1191	HMP2I949	HMP2I949	HMP2I574	HMP2I949	HMP2I574	HMP2I574	HMP2I949	HMP2I596	HMP2I874	HMP2I1191	HMP2I596	HMP2I874	HMP2I1268	HMP2I874	HMP2I874	HMP2I1191	HMP2I1268	HMP2I1191	HMP2I574	C3029	HMP2
HMP2I1240	HMP2I1288	HMP2I1007	HMP2I747	HMP2I1078	HMP2I1288	HMP2I1193	HMP2I720	HMP2I834	HMP2I1240	HMP2I1288	HMP2I1007	HMP2I1039	HMP2I747	HMP2I720	HMP2I1007	HMP2I1039	HMP2I1039	HMP2I1240	HMP2I1039	C3030	HMP2
HMP2I672	HMP2I672	HMP2I1273	HMP2I1273	HMP2I1249	HMP2I1273	HMP2I678	HMP2I672	HMP2I1129	HMP2I672	HMP2I672	HMP2I1249	HMP2I1249	HMP2I1273	HMP2I1148	HMP2I594	HMP2I1000	HMP2I1298	HMP2I1040	HMP2I672	C3031	HMP2
HMP2I1149	HMP2I1149	HMP2I1064	HMP2I1122	HMP2I872	HMP2I1131	HMP2I1064	HMP2I737	HMP2I1282	HMP2I582	HMP2I737	HMP2I582	HMP2I1149	HMP2I582	HMP2I1301	HMP2I730	HMP2I1064	HMP2I1149	HMP2I872	HMP2I1282	C3032	HMP2
